#mumbai
#margao
#mangalore
#madikeri
#virajpet
#kannur
#bangalore
#mysore
#
#from,to,way,km,time,price
#
mumbai,margao,train,765,12:00,0
mumbai,margao,car,765,11:00,0
mumbai,margao,air,765,01:00,0
mumbai,mangalore,car,1112,18:00,0
mumbai,pune,car,200,04:00,0
#
pune,bijapur,car,250,06:00,0
#
margao,mangalore,train,430,06:00,0
margao,mangalore,car,430,05:00,0
#
mangalore,madikeri,bus,155,04:30,0
mangalore,kannur,trein,255,03:30,0
#
madikeri,virajpet,bus,35,02:00,0
#
virajpet,kannur,bus,60,03:00,0
virajpet,bangalore,bus,260,06:30,0
#
mysore,bangalore,train,139,03:00,0
mysore,mangalore,train,308,09:00,0
